"No.","Time","Source","Destination","Protocol","Length","Info"
"35","1.746612","192.168.30.22","192.168.30.19","UDP","46","60038  >  5555 Len=4"
"36","1.746682","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"37","1.753174","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"38","1.759619","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"39","1.765209","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"40","1.771191","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"41","1.777164","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"42","1.783185","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"43","1.789215","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"44","1.795167","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"45","1.801193","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"46","1.807185","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"47","1.814824","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"50","1.820186","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"51","1.826393","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"52","1.832175","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"53","1.838201","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"54","1.844359","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"55","1.850158","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"56","1.856144","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"57","1.862219","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"58","1.868181","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"59","1.874160","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"60","1.880173","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"61","1.886171","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"62","1.892831","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"63","1.898249","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"64","1.904183","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"65","1.910826","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"66","1.916192","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
"67","1.922314","192.168.30.22","192.168.30.19","UDP","1066","60038  >  5555 Len=1024"
